Rank,Δ Rank (1wk),Security,Industry,Unnamed: 4,Market Cap (MM),Short Float,SI Change (1m %),Float - SI (MM),Days to Cover,Price Momo (1m %),Shares Avail. (1K),Borrow Fee Rate,Short Squeeze Score
1,12 ↑,"BBGI / Beasley Broadcast Group, Inc.",Radio Broadcasting Stations,,40.69,34.3,168.8,0.36,1.81,202.86,150.0,151.92,99.46
2,144 ↑,SKYQ / Sky Quarry Inc.,,,19.08,74.2,1007.29,0.83,1.92,37.24,30.0,291.75,99.41
3,22 ↑,BENF / Beneficient,Finance Services,,47.17,39.35,61.82,0.63,16.82,5.52,15.0,54.11,97.99
4,83 ↑,"ROLR / High Roller Technologies, Inc.",,,79.42,37.55,568.73,2.9,0.92,81.91,8.0,119.92,97.93
5,5 ↑,LFVN / LifeVantage Corporation,Pharmaceutical Preparations,,66.49,44.74,0.73,4.63,16.04,9.59,4.0,45.58,96.29
6,1 ↓,SKIL / Skillsoft Corp.,Prepackaged Software,,59.55,21.67,1.32,3.55,14.06,28.85,70.0,44.67,96.23
7,1 ↓,"VELO / Velo3D, Inc.","Special Industry Machinery, Not Elsewhere Classified",,316.95,51.47,12.32,3.72,1.42,6.26,800.0,15.12,95.79
8,8 ↑,SEAT / Vivid Seats Inc.,Miscellaneous Amusement And Recreation,,70.6,30.02,6.34,2.44,14.17,4.45,100.0,14.51,95.66
9,7 ↓,"SNSE / Sensei Biotherapeutics, Inc.",Pharmaceutical Preparations,,39.79,105.55,19.55,0.0,31.73,-2.08,50.0,115.8,95.52
10,280 ↑,AGAE / Allied Gaming & Entertainment Inc.,Amusement And Recreation Services,,19.27,44.87,599.21,9.35,5.76,18.77,300.0,68.81,95.11
11,30 ↑,BTM / Bitcoin Depot Inc.,Finance Services,,30.65,14.79,21.64,3.84,1.24,58.54,30.0,90.18,94.69
12,3060 ↑,"SNAL / Snail, Inc.",Prepackaged Software,,24.01,52.76,94027.05,5.58,8.46,2.41,25.0,79.29,94.59
13,1 ↓,LTRN / Lantern Pharma Inc.,Pharmaceutical Preparations,,25.32,20.4,456.42,6.79,8.57,25.44,250.0,25.21,94.39
14,,HKIT / Hitek Global Inc.,,,24.9,48.58,2906.88,0.11,0.37,-30.63,3.0,158.86,94.23
15,1017 ↑,UP / Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",,185.38,13.33,-9.0,5.0,0.71,-26.17,0.6,10.21,86.68
16,9 ↓,LOCL / Local Bounti Corporation,Agricultural Production - Crops,,53.34,9.71,2.93,0.52,0.13,43.58,10.0,153.75,93.67
17,8 ↓,"FLWS / 1-800-FLOWERS.COM, Inc.","Retail Stores, Not Elsewhere Classified",,223.59,85.96,-2.16,1.49,6.85,5.07,3800.0,1.65,93.53
18,10 ↓,"FIEE / FiEE, Inc.",Telephone and Telegraph Apparatus,,56.97,16.42,11.83,0.13,1.44,-1.78,65.0,91.76,93.24
19,1 ↓,PCSC / Perceptive Capital Solutions Corp,,,123.96,40.62,0.65,1.09,94.17,-0.21,600.0,4.35,93.08
20,690 ↑,"MIGI / Big Digital Energy, Inc.",Finance Services,,15.16,11.76,586.96,3.17,1.19,13.3,25.0,52.36,92.92
21,2 ↓,"CBIO / Crescent Biopharma, Inc.",,,795.8,22.17,53.92,7.81,8.59,17.32,600.0,6.82,92.85
22,19 ↓,"SST / System1, Inc.",,,29.52,10.98,91.03,3.98,0.08,24.5,4.0,672.83,92.61
23,25 ↑,RLYB / Rallybio Corporation,Pharmaceutical Preparations,,45.86,44.46,76.2,1.76,48.07,4.58,150.0,1.24,92.58
24,31 ↑,MNPR / Monopar Therapeutics Inc.,Pharmaceutical Preparations,,365.12,39.19,4.22,2.67,15.16,2.21,65.0,2.58,92.55
25,553 ↑,HTCO / High-Trend International Group,Deep Sea Foreign Transportation of Freight,,55.27,27.4,2919.15,2.09,0.23,-13.62,0.1,81.33,92.44
26,5 ↑,"FRMM / Forum Markets, Incorporated",Finance Services,,97.99,22.39,5.55,10.98,2.57,41.6,80.0,9.15,92.37
27,5 ↓,NGNE / Neurogene Inc.,Pharmaceutical Preparations,,424.58,78.0,3.25,1.13,32.83,13.29,100.0,0.7,92.31
28,11 ↓,BETR / Better Home & Finance Holding Company,Loan Brokers,,650.43,20.85,-8.65,7.93,5.49,9.05,550.0,7.22,92.23
29,17 ↑,"WYFI / WhiteFiber, Inc.",,,595.87,23.68,35.65,8.35,5.23,11.79,800.0,4.96,92.2
30,4 ↑,NUTX / Nutex Health Inc.,"Business Services, Not Elsewhere Classified",,815.32,25.44,-0.78,2.8,8.09,12.46,25.0,1.09,91.99
31,4 ↓,AENT / Alliance Entertainment Holding Corporation,"Durable Goods, Not Elsewhere Classified",,381.67,11.31,-5.18,2.79,28.1,5.27,30.0,57.98,91.97
32,7 ↑,"QCLS / Q/C Technologies, Inc.",In Vitro and In Vivo Diagnostic Substances,,29.07,17.56,-11.94,6.12,4.14,2.34,800.0,19.16,91.88
33,5 ↓,"GLSI / Greenwich LifeSciences, Inc.",Pharmaceutical Preparations,,316.03,23.19,7.26,5.04,22.49,-1.24,45.0,67.08,91.85
34,4 ↓,CTEV / Claritev Corporation,"Business Services, Not Elsewhere Classified",,388.82,22.92,1.6,4.15,20.11,20.29,20.0,1.36,91.76
35,21 ↓,"OPTX / Syntec Optics Holdings, Inc.",Optical Instruments and Lenses,,300.84,26.33,46.05,4.46,2.3,-4.87,15.0,117.06,91.63
36,7 ↓,"IBTA / Ibotta, Inc.",,,897.37,44.39,-14.9,3.96,34.35,7.98,400.0,1.04,91.53
37,1 ↓,ARQQ / Arqit Quantum Inc.,Prepackaged Software,,222.95,19.42,-1.41,4.29,4.68,3.92,400.0,3.84,91.47
38,3 ↓,DFDV / DeFi Development Corp.,Finance Services,,129.44,27.93,-5.4,15.47,12.46,6.25,65.0,16.51,91.4
39,1 ↓,"RNAC / Cartesian Therapeutics, Inc.",Pharmaceutical Preparations,,176.1,32.39,4.48,4.62,25.85,4.98,500.0,1.55,91.36
40,3 ↑,"ALMU / Aeluma, Inc.",Semiconductors and Related Devices,,340.44,29.86,40.73,8.65,2.24,20.93,600.0,1.95,91.26
41,17 ↓,ANDG / Andersen Group Inc.,,,449.39,21.13,-17.46,7.71,10.01,13.66,250.0,2.85,91.18
42,41 ↑,HIFS / Hingham Institution for Savings,,,637.96,20.39,-2.68,1.26,9.61,2.92,7.0,1.32,91.18
43,20 ↓,TSAT / Telesat Corporation,"Communications Services, Not Elsewhere Classified",,678.35,102.94,4.77,0.0,6.27,3.1,250.0,0.58,91.01
44,2 ↓,"LVWR / LiveWire Group, Inc.","Motorcycles, Bicycles, and Parts",,414.75,14.2,-13.55,11.0,29.32,19.72,10.0,11.48,90.56
45,22 ↑,MVO / MV Oil Trust,Crude Petroleum and Natural Gas,,29.44,12.33,11.47,6.67,5.36,2.97,5.0,412.29,90.52
46,31 ↓,"PSTV / Plus Therapeutics, Inc.",Surgical and Medical Instruments and Apparatus,,31.06,21.31,67.6,4.98,7.19,-7.68,60.0,109.07,90.51
47,128 ↑,AGPU / Axe Compute Inc.,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,24.21,7.86,130.65,3.42,0.03,102.05,50.0,283.98,90.42
48,8 ↓,"UONE / Urban One, Inc.",Radio Broadcasting Stations,,19.55,20.51,294.7,0.38,12.7,-7.54,40.0,4.76,90.71
49,976 ↑,"COCP / Cocrystal Pharma, Inc.",Pharmaceutical Preparations,,19.3,10.83,361.42,8.13,10.85,9.9,200.0,195.77,90.33
50,35 ↑,"INBX / Inhibrx Biosciences, Inc.","Biological Products, Except Diagnostic Substances (Biotech)",,1916.23,27.38,14.63,5.67,2.65,60.14,650.0,0.86,90.22
51,,"EKSO / Ekso Bionics Holdings, Inc.","General Industrial Machinery and Equipment, Not Elsewhere",,39.93,9.61,-19.7,2.02,6.93,4.45,100.0,12.92,90.21
52,,CREG / Smart Powerr Corp.,"Business Services, Not Elsewhere Classified",,18.56,15.0,4593.41,19.17,2.37,114.08,15.0,674.3,90.16
53,33 ↓,"SWMR / Swarmer, Inc",,,18.99,10.49,,3.98,1.37,2.12,25.0,190.85,90.09
54,50 ↓,"CAR / Avis Budget Group, Inc.","Automotive Rental And Leasing, Without Drivers",,6340.25,82.78,-4.34,1.62,0.97,-20.9,80.0,2.72,90.03
55,11 ↓,"AIRS / AirSculpt Technologies, Inc.",Offices and Clinics of Doctors of Medicine,,163.72,49.16,27.64,5.06,5.67,-3.9,6300.0,5.21,89.98
56,7 ↓,WBTN / WEBTOON Entertainment Inc.,,,1592.85,26.6,4.49,15.28,26.83,13.95,35.0,3.73,89.98
57,36 ↓,TVGN / Tevogen Bio Holdings Inc.,,,25.73,8.62,6.22,0.97,9.29,3.49,9.0,13.94,89.96
58,411 ↑,FUSE / Fusemachines Inc.,,,50.35,13.23,259.77,12.99,10.57,10.07,300.0,41.67,89.96
59,14 ↓,"LAKE / Lakeland Industries, Inc.","Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,95.71,16.38,4.89,7.88,30.71,10.32,80.0,2.9,89.95
60,6 ↓,EVCM / EverCommerce Inc.,Prepackaged Software,,2135.56,14.32,23.34,9.78,27.14,2.53,15.0,33.94,89.92
61,5 ↓,"VGAS / Verde Clean Fuels, Inc.",Industrial Organic Chemicals,,32.93,15.34,7.85,0.81,7.37,-5.3,200.0,6.01,89.74
62,10 ↓,"HYPD / Hyperion DeFi, Inc.",Pharmaceutical Preparations,,36.93,11.62,-45.25,8.54,6.05,11.85,700.0,12.03,89.68
63,92 ↑,IMPP / Imperial Petroleum Inc.,Deep Sea Foreign Transportation of Freight,,182.95,17.41,-0.64,13.85,6.52,7.43,1600.0,7.12,89.55
64,10 ↑,"HPK / HighPeak Energy, Inc.",Drilling Oil and Gas Wells,,838.46,33.31,8.18,17.51,13.93,3.95,400.0,6.35,89.46
65,3 ↑,QMCO / Quantum Corporation,Computer Storage Devices,,94.99,13.76,-2.24,12.39,7.44,11.19,150.0,10.28,89.46
66,7 ↓,DMRC / Digimarc Corporation,Computer Integrated Systems Design,,154.25,19.74,17.09,11.22,20.14,15.62,300.0,2.17,89.42
67,2 ↓,KPTI / Karyopharm Therapeutics Inc.,Pharmaceutical Preparations,,157.47,30.85,59.19,12.82,16.86,16.68,900.0,1.37,89.32
68,68 ↑,WATT / Energous Corporation,Radio and Television Broadcasting and Communications Equipment,,72.48,10.83,101.02,4.9,1.4,61.23,400.0,3.71,89.2
69,23 ↑,"VEL / Velocity Financial, Inc.",Finance Services,,771.9,19.21,-4.23,4.24,41.31,5.03,95.0,0.98,89.16
70,13 ↓,"BNAI / Brand Engagement Network, Inc.",,,160.9,13.71,-11.64,3.34,1.71,-15.07,75.0,157.12,89.15
71,189 ↑,SCHL / Scholastic Corporation,"Books: Publishing, or Publishing and Printing",,889.48,19.63,52.71,12.56,6.74,4.82,10.0,4.19,89.04
72,11 ↓,"CHPT / ChargePoint Holdings, Inc.","Miscellaneous Electrical Machinery, Equipment, and Supplies",,158.71,17.28,-1.48,18.67,10.26,12.64,250.0,9.05,89.04
73,41 ↓,JACK / Jack in the Box Inc.,"Restaurants, Dining, and Eating Places",,247.36,45.24,22.05,7.79,8.63,12.36,100.0,0.69,89.0
74,,UFG / Uni-Fuels Holdings Limited,,,32.63,6.86,37.31,2.3,1.61,13.74,90.0,21.53,88.91
75,69 ↑,SKLZ / Skillz Inc.,Computer Processing and Data Preparation and Processing Services,,90.18,14.46,-1.85,8.36,0.18,74.87,55.0,1.92,88.9
76,23 ↓,FOA / Finance of America Companies Inc.,Mortgage Bankers and Loan Correspondents,,161.86,16.5,5.17,3.24,14.96,4.13,100.0,0.99,88.88
77,24 ↑,"STIM / Neuronetics, Inc.",Surgical and Medical Instruments and Apparatus,,113.15,37.92,16.61,17.87,9.44,11.36,7100.0,2.2,88.82
78,12 ↑,"SGP / SpyGlass Pharma, Inc.",Pharmaceutical Preparations,,50.6,16.06,83.29,5.44,18.15,-2.19,55.0,9.81,88.77
79,68 ↓,"BIRD / Allbirds, Inc.",Apparel And Other Finished Products Made From Fabrics And Similar Materials,,58.42,7.46,-55.04,5.36,0.22,33.49,80.0,58.83,88.75
80,27 ↑,"MPLT / MapLight Therapeutics, Inc.",,,1334.81,13.81,23.94,10.5,4.11,25.01,500.0,3.19,88.69
81,15 ↓,CACC / Credit Acceptance Corporation,Personal Credit Institutions,,5519.39,18.51,-10.71,4.42,12.75,7.64,9.0,0.76,88.58
82,56 ↓,"EDSA / Edesa Biotech, Inc.",Pharmaceutical Preparations,,119.01,6.52,-55.64,3.83,0.1,109.57,0.1,133.57,88.53
83,46 ↓,"PLCE / The Children's Place, Inc.",Family Clothing Stores,,70.5,42.54,31.02,4.47,24.16,-4.27,100.0,2.05,88.52
84,5 ↑,"WOLF / Wolfspeed, Inc.",Semiconductors and Related Devices,T,701.91,39.14,15.6,17.18,1.96,18.25,250.0,1.34,88.41
85,2950 ↑,IBO / Impact BioMedical Inc.,,,70.43,10.6,-8.01,10.23,46.05,4.15,600.0,62.54,88.28
86,45 ↑,"MOBX / Mobix Labs, Inc.",Semiconductors and Related Devices,,17.44,16.51,-4.77,6.98,3.0,-21.05,30.0,38.54,88.26
87,29 ↓,"TTEC / TTEC Holdings, Inc.",Help Supply Services,,144.23,35.16,3.27,12.95,27.02,6.34,200.0,1.08,88.05
88,210 ↑,"ACTU / Actuate Therapeutics, Inc.",Prepackaged Software,,67.64,11.07,36.7,7.35,5.77,20.33,60.0,3.21,88.05
89,20 ↓,"VRM / Vroom, Inc.",Automotive Dealers And Gasoline Service Stations,,81.09,7.66,19.34,0.7,9.37,5.65,10.0,4.1,88.03
90,34 ↑,"LENZ / LENZ Therapeutics, Inc.",,,290.72,51.28,-1.39,9.0,13.48,1.2,200.0,1.14,87.97
91,112 ↑,DERM / Journey Medical Corporation,Pharmaceutical Preparations,,142.78,25.05,41.28,11.13,30.35,8.07,20.0,1.1,88.34
92,26 ↑,TEAD / Teads Holding Co.,"Computer Programming, Data Processing, And Other Computer Related Services",,88.78,22.33,-3.23,20.25,32.06,28.97,550.0,2.53,87.94
93,3 ↑,USGO / U.S. GoldMining Inc.,Gold And Silver Mining,,173.02,8.54,-25.7,2.64,5.22,7.96,25.0,3.6,87.88
94,8 ↑,HAFN / Hafnia Limited,Deep Sea Foreign Transportation of Freight,,4367.37,26.65,27.05,8.82,2.01,8.31,1500.0,0.7,87.76
95,25 ↓,UHAL / U-Haul Holding Company,"Automotive Rental And Leasing, Without Drivers",,9356.05,18.83,1.88,6.3,9.89,4.45,40.0,0.91,87.73
96,21 ↓,DFLI / Dragonfly Energy Holdings Corp.,"Miscellaneous Electrical Machinery, Equipment, and Supplies",,23.86,11.22,9.56,9.84,4.21,4.68,200.0,9.29,87.7
97,69 ↑,"GRCE / Grace Therapeutics, Inc.",Pharmaceutical Preparations,,32.65,18.24,24.48,7.83,0.86,-39.48,40.0,6.31,87.09
98,42 ↑,MDWD / MediWound Ltd.,Medicinal Chemicals and Botanical Products,,213.06,16.77,18.2,8.13,46.03,3.03,350.0,2.24,88.19
99,35 ↓,LOVE / The Lovesac Company,Furniture Stores,,238.26,33.25,-1.08,7.29,20.81,5.93,250.0,0.55,87.53
100,3 ↑,"GRPN / Groupon, Inc.",Advertising Agencies,,580.44,47.43,9.37,15.25,7.18,6.54,450.0,1.01,87.52
101,25 ↑,"MED / Medifast, Inc.",Miscellaneous Food Preparations And Kindred,,111.5,25.29,6.25,6.35,22.17,1.84,350.0,0.82,87.41
102,20 ↓,"RRGB / Red Robin Gourmet Burgers, Inc.","Restaurants, Dining, and Eating Places",,69.51,15.36,-6.93,11.87,16.95,10.06,250.0,1.65,87.38
103,2 ↑,BATL / Battalion Oil Corporation,Crude Petroleum and Natural Gas,,64.18,20.84,182.52,13.31,0.47,-21.45,150.0,72.21,87.34
104,6 ↓,"LESL / Leslie's, Inc.","Retail Stores, Not Elsewhere Classified",,17.7,11.33,0.59,8.05,9.37,22.87,550.0,2.2,87.33
105,72 ↓,LUCK / Lucky Strike Entertainment Corporation,Amusement And Recreation Services,,1002.24,17.74,-2.58,10.72,43.45,-8.18,250.0,23.76,87.31
106,149 ↑,"IMA / ImageneBio, Inc.",In Vitro and In Vivo Diagnostic Substances,,64.74,9.18,55.3,5.81,7.3,5.12,400.0,5.44,87.12
107,2 ↑,WEST / Westrock Coffee Company,"Heating Equipment, Except Electric and Warm Air Furnaces",,546.32,24.11,2.98,20.67,31.39,15.99,45.0,1.42,86.95
108,88 ↑,BH / Biglari Holdings Inc.,"Restaurants, Dining, and Eating Places",,947.57,14.71,-21.24,0.56,1.41,0.76,25.0,0.43,85.61
109,25 ↓,"OXM / Oxford Industries, Inc.","Men's And Boys' Furnishings, Work Clothing, And Allied Garments",,661.95,25.46,2.29,10.63,21.41,6.93,150.0,0.72,86.94
110,44 ↑,"NRXP / NRx Pharmaceuticals, Inc.",Pharmaceutical Preparations,,93.36,13.4,18.18,21.0,5.18,11.62,350.0,8.35,86.92
111,49 ↓,EMPD / Empery Digital Inc.,Motor Vehicles and Passenger Car Bodies,,160.89,12.06,-3.68,16.28,11.45,3.72,650.0,16.97,86.84
112,13 ↓,"UPXI / Upexi, Inc.",Finance Services,,84.78,29.24,-8.01,43.5,7.98,7.94,45.0,21.89,86.73
113,32 ↓,INMB / INmune Bio Inc.,"Biological Products, Except Diagnostic Substances (Biotech)",,39.08,15.2,3.47,18.79,28.25,9.67,350.0,3.09,86.49
114,2 ↑,"STEM / Stem, Inc.",Computer Integrated Systems Design,,87.74,12.74,-1.76,7.2,10.42,4.2,450.0,1.37,86.35
115,84 ↑,BALY / Bally's Corporation,Hotels and Motels,,631.79,8.78,7.06,9.06,30.88,11.88,45.0,6.53,86.76
116,108 ↑,FUBO / FuboTV Inc.,"Motion Picture, Film, and Video Tape Production",,347.08,24.46,50.67,22.04,6.86,2.55,150.0,4.21,86.71
117,2 ↓,WRLD / World Acceptance Corporation,Personal Credit Institutions,,1473.32,19.55,28.52,1.85,3.08,8.53,60.0,0.26,86.77
118,3 ↑,"CBRL / Cracker Barrel Old Country Store, Inc.","Restaurants, Dining, and Eating Places",,687.73,24.49,2.59,15.09,7.22,7.23,500.0,0.94,86.61
119,13 ↓,DRUG / Bright Minds Biosciences Inc.,Pharmaceutical Preparations,,696.17,9.81,22.5,5.96,3.93,9.67,200.0,2.21,86.57
120,50 ↑,TNXP / Tonix Pharmaceuticals Holding Corp.,Pharmaceutical Preparations,,162.54,17.46,0.13,11.7,9.83,-2.21,800.0,6.57,86.55
121,61 ↓,"AIFF / Firefly Neuroscience, Inc.",,,29.6,10.15,-15.61,11.59,1.47,-4.98,350.0,78.93,84.06
122,49 ↓,"EVMN / Evommune, Inc.",,,806.07,17.65,12.93,16.14,21.96,2.4,450.0,5.67,86.52
123,10 ↑,CRML / Critical Metals Corp.,,,1380.27,28.0,24.35,54.99,1.04,28.75,0.6,75.03,86.45
124,57 ↑,"TECX / Tectonic Therapeutic, Inc.",,,509.68,21.7,-13.2,8.75,12.27,-4.56,150.0,1.08,86.33
